Dataset,Train loss,Train accuracy,Test loss,Test accuracy
ArrowHead,0.021696127951145172,1.0,0.5886029601097107,0.8114285469055176
Wine,0.5724998712539673,0.7017543911933899,0.5688433051109314,0.7222222089767456
OliveOil,1.0083270072937012,0.5,1.068600058555603,0.4333333373069763
Car,0.009128552861511707,1.0,0.17946718633174896,0.9166666865348816
BeetleFly,0.011874960735440254,1.0,0.521812915802002,0.75
Yoga,0.10830558836460114,0.9800000190734863,0.4600212872028351,0.812666654586792
InlineSkate,1.2547270059585571,0.5099999904632568,1.976222276687622,0.2836363613605499
FaceAll,3.761476250474516e-07,1.0,0.8456227779388428,0.8502958416938782
Ham,0.006499323062598705,1.0,1.1594910621643066,0.7523809671401978
MoteStrain,0.0014504045248031616,1.0,0.24966786801815033,0.9241213798522949
ProximalPhalanxTW,0.0460318885743618,0.9850000143051147,0.7158109545707703,0.795121967792511
WordSynonyms,0.010808445513248444,1.0,3.1483800411224365,0.4968652129173279
Lightning7,0.00525514455512166,1.0,0.6558507680892944,0.7808219194412231
GunPointOldVersusYoung,0.003935196436941624,1.0,0.11099067330360413,0.9746031761169434
Earthquakes,0.003930673003196716,1.0,1.249711275100708,0.7122302055358887
