Dataset,Train loss,Train accuracy,Test loss,Test accuracy
ArrowHead,0.0038988329470157623,1.0,7.387910842895508,0.6857143044471741
Wine,0.6917787790298462,0.5263158082962036,0.694386899471283,0.5
OliveOil,1.2828212976455688,0.4333333373069763,1.2969881296157837,0.4000000059604645
Car,0.35214927792549133,0.8333333134651184,1.1729700565338135,0.6166666746139526
BeetleFly,0.0,1.0,1421.919677734375,0.800000011920929
Yoga,0.6894530653953552,0.5433333516120911,0.6905776262283325,0.5356666445732117
InlineSkate,1.9209649562835693,0.18000000715255737,4.587185382843018,0.15090909600257874
FaceAll,2.6296446323394775,0.07500000298023224,2.915817975997925,0.08224852383136749
Ham,0.0,1.0,8.105939865112305,0.7333333492279053
MoteStrain,0.0,1.0,2.603524684906006,0.8610223531723022
ProximalPhalanxTW,0.39254266023635864,0.8274999856948853,0.5334779024124146,0.800000011920929
WordSynonyms,2.7899303436279297,0.2247191071510315,2.8747072219848633,0.21943573653697968
Lightning7,0.0012436974793672562,1.0,929.3805541992188,0.534246563911438
GunPointOldVersusYoung,0.6028033494949341,0.6029411554336548,51.34034729003906,0.5968254208564758
Earthquakes,0.027670137584209442,0.9906832575798035,3220.412109375,0.6618704795837402
